Dupes
n,BlockSort,BubbleSort,CocktailShakerSort,CycleSort,ExchangeSort,HeapSort,InsertionSort,IntroSort,MergeSort,PatienceSort,QuickSortHoare,QuickSortLomuto,RadixSort,SelectionSort,ShellSort,SmoothSort,StrandSort,TimSort,TreeSort
512,0,0.1,0.1,0.2,0.1,0.1,0,0.1,0.1,0.1,0,0,0,0.2,0,0.1,0.1,0,0.2
1024,0,0.5,0.6,1.8,0.6,0.1,0.2,0.1,0.2,0.3,0,0,0.3,0.3,0,0.2,0.2,0,0.3
2048,0.2,3.7,4.6,7.9,2.8,0.1,0.4,0,0.5,0.2,0.1,0,0.4,1.3,0.1,1.9,19.1,0.1,0.3
4096,0.3,15,15.6,33.8,15.2,0.2,2.5,0,0.8,1,0.2,0.1,1.2,6,0.4,7.9,36.1,0.1,1.2
8192,1,66.5,66.8,138.7,76.7,0.4,11,0.3,2.6,FAILED,0.4,0,2.6,25.9,1.3,FAILED,FAILED,0.3,2.6
16384,3,301,270.2,597.9,287.1,2.4,49.2,0.5,6.2,FAILED,1,0.5,5.6,97.3,4,FAILED,FAILED,2.4,5.9
32768,6,1328.7,1114.4,2365.1,1446.6,5,193.2,1.8,12.5,FAILED,1.3,1.9,11.3,394.8,12,FAILED,FAILED,5.7,17.3
65536,18.6,5881.5,4759.3,9629.4,5748.2,11.9,760.1,4.9,27.8,FAILED,4.5,4.1,23.1,1684.6,20,FAILED,FAILED,18.9,38.6
131072,34,24838.9,19256.1,37599.6,24399.9,21,2976.9,10.6,52.7,FAILED,10,8.6,44.1,6464.8,48,FAILED,FAILED,40.9,95.2
262144,86.4,103063.3,78585,FAILED,99189.1,61.1,12008.2,21.7,104.3,FAILED,21.3,19.9,93.2,25779.5,116.5,FAILED,FAILED,69.1,266
524288,193.3,109.7,45.8,219.7,FAILED,45.8,39.6,195.2,313.8,FAILED,FAILED,128.7,763.1
1048576,451.5,278,94.5,445.4,FAILED,95,80.2,360.7,802.9,FAILED,FAILED,267.1,1818.7
2097152,1298.4,717.6,203.3,928,FAILED,197.9,175,761.5,2468.3,FAILED,FAILED,528.2,4232.5
4194304,FAILED,1787.1,406.9,1794.6,FAILED,410.9,367.4,1440.5,FAILED,FAILED,FAILED,FAILED,10180.1
8388608,FAILED,4221.1,828.6,3682.8,FAILED,849.3,761.1,2951.1,FAILED,FAILED,FAILED,FAILED,20502.8
16777216,FAILED,10384.3,1759.5,7419,FAILED,1775.1,1586.9,5766.7,FAILED,FAILED,FAILED,FAILED,46820.3
33554432,FAILED,22728.8,3698,15747.1,FAILED,3674.7,3309.5,11524.7,FAILED,FAILED,FAILED,FAILED,99340.1
67108864,FAILED,47533.4,7624.3,31783.4,FAILED,7653.9,6876.1,23323.8,FAILED,FAILED,FAILED,FAILED,FAILED
134217728,FAILED,FAILED,15534,65315.9,FAILED,FAILED,FAILED,44941.6,FAILED,FAILED,FAILED,FAILED,FAILED
268435456,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,88081.4,FAILED,FAILED,FAILED,FAILED,FAILED

